method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,weierstrass,50,8.000,0.250,24.000,30,0.5509394078,0.8073897052,0.0000000000,150000.0000000000,0.0000000000,16.667
arq2,weierstrass,50,1.000,0.050,30.000,30,0.8468888413,1.0437155696,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.050,30.000,30,0.4318672810,0.5009463583,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.050,30.000,30,0.8378890353,0.6938639793,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.050,30.000,30,0.6035631906,0.7341344102,0.0001129686,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,8.000,0.050,30.000,30,0.4032934549,0.4217101060,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.100,30.000,30,0.8749816624,1.0377654545,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.100,30.000,30,0.4135807508,0.4952871227,0.0005687164,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.100,30.000,30,0.8455602162,0.6879105107,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.100,30.000,30,0.6457854232,0.7201979150,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,8.000,0.100,30.000,30,0.4141747105,0.4611867966,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.150,30.000,30,0.8273824097,0.9961063132,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.150,30.000,30,0.5172995623,0.5774783335,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.150,30.000,30,0.7712149759,0.5910932304,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.150,30.000,30,0.7155532870,0.7347862650,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,8.000,0.150,30.000,30,0.4353134780,0.6089295179,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,1.000,0.200,30.000,30,0.9007644838,0.9296103531,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.200,30.000,30,0.8023655495,1.1922222774,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.200,30.000,30,0.8451904402,0.7568164287,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.200,30.000,30,0.6216436717,0.9451175662,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,8.000,0.200,30.000,30,0.3127454187,0.4552497646,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,1.000,0.250,30.000,30,0.8512645499,0.8869526822,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.250,30.000,30,0.5561475551,0.7302494499,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,3.000,0.250,30.000,30,0.7657863605,0.7552614719,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,5.000,0.250,30.000,30,0.6101428386,0.7097743377,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,8.000,0.250,30.000,30,0.5509394078,0.8073897052,0.0000000000,150000.0000000000,0.0000000000,16.667
arq2,weierstrass,50,1.000,0.050,36.000,30,0.8468888413,1.0437155696,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.050,36.000,30,0.4318672810,0.5009463583,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.050,36.000,30,0.8378890353,0.6938639793,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.050,36.000,30,0.6035631906,0.7341344102,0.0001129686,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,8.000,0.050,36.000,30,0.4032934549,0.4217101060,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.100,36.000,30,0.8749816624,1.0377654545,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.100,36.000,30,0.4135807508,0.4952871227,0.0005687164,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.100,36.000,30,0.8455602162,0.6879105107,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.100,36.000,30,0.6457854232,0.7201979150,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,8.000,0.100,36.000,30,0.4141747105,0.4611867966,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.150,36.000,30,0.8273824097,0.9961063132,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.150,36.000,30,0.5172995623,0.5774783335,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.150,36.000,30,0.7712149759,0.5910932304,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.150,36.000,30,0.7155532870,0.7347862650,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,8.000,0.150,36.000,30,0.4353134780,0.6089295179,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,1.000,0.200,36.000,30,0.9007644838,0.9296103531,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.200,36.000,30,0.8023655495,1.1922222774,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.200,36.000,30,0.8451904402,0.7568164287,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.200,36.000,30,0.6216436717,0.9451175662,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,8.000,0.200,36.000,30,0.3127454187,0.4552497646,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,1.000,0.250,36.000,30,0.8512645499,0.8869526822,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.250,36.000,30,0.5561475551,0.7302494499,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,3.000,0.250,36.000,30,0.7657863605,0.7552614719,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,5.000,0.250,36.000,30,0.6101428386,0.7097743377,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,8.000,0.250,36.000,30,0.5509394078,0.8073897052,0.0000000000,150000.0000000000,0.0000000000,16.667
